COD_IBGE;UF;MUNICIPIO;POPULACAO;RANGE_POP;CAPITAL
2305233;CE;Horizonte;69688;>50k;
3515509;SP;Fernandópolis;69680;>50k;
5105259;MT;Lucas do Rio Verde;69671;>50k;
3526803;SP;Lençóis Paulista;69533;>50k;
4201406;SC;Araranguá;69493;>50k;
5213103;GO;Mineiros;69477;>50k;
4208302;SC;Itapema;69323;>50k;
2105401;MA;Itapecuru Mirim;69233;>50k;
3530508;SP;Mococa;69072;>50k;
2402006;RN;Caicó;68726;>50k;
1501782;PA;Breu Branco;68597;>50k;
1304062;AM;Tabatinga;68502;>50k;
2305407;CE;Icó;68303;>50k;
4122404;PR;Rolândia;68165;>50k;
2610905;PE;Pesqueira;68067;>50k;
3135209;MG;Januária;67958;>50k;
3126109;MG;Formiga;67956;>50k;
2904605;BA;Brumado;67468;>50k;
2908408;BA;Conceição do Coité;67394;>50k;
1503457;PA;Ipixuna do Pará;67170;>50k;
4322509;RS;Vacaria;66916;>50k;
3137601;MG;Lagoa Santa;66744;>50k;
4303509;RS;Camaquã;66686;>50k;
2614501;PE;Surubim;66192;>50k;
1302900;AM;Maués;66159;>50k;
4312401;RS;Montenegro;66157;>50k;
3506359;SP;Bertioga;66154;>50k;
2709301;AL;União dos Palmares;65963;>50k;
2103604;MA;Coroatá;65788;>50k;
3555000;SP;Tupã;65615;>50k;
3149309;MG;Pedro Leopoldo;65149;>50k;
2914703;BA;Itaberaba;64795;>50k;
1501501;PA;Benevides;64780;>50k;
1508001;PA;Tomé-Açu;64604;>50k;
2915601;BA;Itamaraju;64423;>50k;
3524006;SP;Itupeva;64330;>50k;
2302602;CE;Camocim;64147;>50k;
3537305;SP;Penápolis;64098;>50k;
2706703;AL;Penedo;64005;>50k;
2909802;BA;Cruz das Almas;63923;>50k;
2101707;MA;Barreirinhas;63891;>50k;
5107040;MT;Primavera do Leste;63876;>50k;
1505809;PA;Portel;63831;>50k;
2208403;PI;Piripiri;63829;>50k;
2609402;PE;Moreno;63792;>50k;
2610004;PE;Palmares;63745;>50k;
2300200;CE;Acaraú;63556;>50k;
3505906;SP;Batatais;63438;>50k;
1503309;PA;Igarapé-Miri;63367;>50k;
3507001;SP;Boituva;63310;>50k;
2503704;PB;Cajazeiras;62576;>50k;
4304705;RS;Carazinho;62413;>50k;
2708600;AL;São Miguel dos Campos;62328;>50k;
1508126;PA;Ulianópolis;62286;>50k;
3301850;RJ;Guapimirim;62225;>50k;
4318309;RS;São Gabriel;62187;>50k;
1508308;PA;Viseu;62093;>50k;
2314102;CE;Viçosa do Ceará;61916;>50k;
3140001;MG;Mariana;61830;>50k;
3533403;SP;Nova Odessa;61716;>50k;
3531803;SP;Monte Mor;61707;>50k;
5101803;MT;Barra do Garças;61702;>50k;
2301901;CE;Barbalha;61662;>50k;
2308708;CE;Morada Nova;61590;>50k;
2612208;PE;Salgueiro;61561;>50k;
4110706;PR;Irati;61439;>50k;
5206206;GO;Cristalina;61385;>50k;
1502939;PA;Dom Eliseu;61206;>50k;
3519600;SP;Ibitinga;61150;>50k;
2910701;BA;Euclides da Cunha;61112;>50k;
2601904;PE;Bezerros;60960;>50k;
3304300;RJ;Rio Bonito;60930;>50k;
5007901;MS;Sidrolândia;60792;>50k;
3530300;SP;Mirassol;60768;>50k;
2613008;PE;São Bento do Una;60567;>50k;
1503804;PA;Jacundá;60517;>50k;
3127107;MG;Frutal;60508;>50k;
1507607;PA;São Miguel do Guamá;60268;>50k;
2307601;CE;Limoeiro do Norte;60232;>50k;
2928604;BA;Santo Amaro;60190;>50k;
2203909;PI;Floriano;60111;>50k;
3152105;MG;Ponte Nova;60003;>50k;
1503903;PA;Juruti;59961;>50k;
2112506;MA;Tutóia;59927;>50k;
3524709;SP;Jaguariúna;59921;>50k;
4318002;RS;São Borja;59768;>50k;
3300803;RJ;Cachoeiras de Macacu;59652;>50k;
4306106;RS;Cruz Alta;59561;>50k;
2602803;PE;Buíque;59448;>50k;
4314050;RS;Parobé;59419;>50k;
2506301;PB;Guarabira;59389;>50k;
2914000;BA;Ipirá;59281;>50k;
2313302;CE;Tauá;59259;>50k;
1304203;AM;Tefé;59250;>50k;
2400208;RN;Açu;58743;>50k;
3531100;SP;Mongaguá;58567;>50k;
3546801;SP;Santa Isabel;58529;>50k;
4128203;PR;União da Vitória;58298;>50k;
1504802;PA;Monte Alegre;58289;>50k;
4207007;SC;Içara;58055;>50k;
2701407;AL;Campo Alegre;57997;>50k;
2112704;MA;Vargem Grande;57813;>50k;
4321204;RS;Taquara;57740;>50k;
2702306;AL;Coruripe;57647;>50k;
3553708;SP;Taquaritinga;57547;>50k;
1302702;AM;Manicoré;57405;>50k;
1500404;PA;Alenquer;57390;>50k;
2610608;PE;Paudalho;57346;>50k;
3502101;SP;Andradina;57245;>50k;
1301704;AM;Humaitá;57195;>50k;
3169406;MG;Três Pontas;57127;>50k;
3510401;SP;Capivari;56973;>50k;
3540705;SP;Porto Ferreira;56848;>50k;
3151206;MG;Pirapora;56845;>50k;
4210100;SC;Mafra;56825;>50k;
2313500;CE;Trairi;56653;>50k;
3161106;MG;São Francisco;56625;>50k;
5005707;MS;Naviraí;56484;>50k;
3542602;SP;Registro;56463;>50k;
4304507;RS;Canguçu;56370;>50k;
3503802;SP;Artur Nogueira;56247;>50k;
2608909;PE;Limoeiro;56149;>50k;
